dataset,analysis_scope,task,feature,feature_family,recommendation_level,rank_evidence,score_evidence,plot_evidence,label_source,caveat,final_decision
XJTU-SY,manual_basic_mainline,RUL,mag__time__mean,time_domain,A,StepF rank 2; StepH top10_count 3; StepI rank 4,Strong RUL correlation and stable condition-wise evidence,Curves show late-life amplitude growth,no,Redundant with mag__time__mean_abs,Use as main RUL feature
XJTU-SY,manual_basic_mainline,RUL,mag__time__mean_abs,time_domain,A,StepF rank 2; StepH top10_count 3; StepI rank 4,Same score pattern as magnitude mean,Curves show same degradation shape,no,Redundant with mag__time__mean,Use as main RUL feature
XJTU-SY,manual_basic_mainline,RUL,mag__time__std,time_domain,A,StepF rank 8; StepH top10_count 3; StepI rank 7,Stable amplitude dispersion signal,Curve supports increasing vibration intensity,no,Overlaps with RMS family,Use as main or compact baseline feature
XJTU-SY,manual_basic_mainline,RUL,h__time__mean_abs,time_domain,B,StepF rank 4; StepH top10_count 3; StepI rank 8,Good RUL signal but weaker in cross-condition than magnitude features,Horizontal amplitude curves are useful,no,Condition sensitivity exists,Use as secondary RUL feature
XJTU-SY,manual_basic_mainline,RUL,h__time__rms,time_domain,B,StepF rank 5; StepH top10_count 3; StepI rank 10,Useful horizontal energy signal,Curve resembles h__time__std,no,Redundant with h__time__std,Use as secondary RUL feature
XJTU-SY,manual_basic_mainline,RUL,h__time__std,time_domain,B,StepF rank 6; StepH top10_count 3; StepI rank 9,Useful horizontal dispersion signal,Curve resembles h__time__rms,no,Redundant with h__time__rms,Use as secondary RUL feature
XJTU-SY,manual_basic_mainline,RUL,v__time__mean_abs,time_domain,B,StepF rank 7; StepH top10_count 3; StepI rank 1,Strong in cross-condition train condition,Vertical amplitude curve is useful,no,May be condition sensitive,Use with split-aware validation
XJTU-SY,manual_basic_mainline,RUL,v__time__std,time_domain,B,StepF rank 10; StepH top10_count 3; StepI rank 3,Strong in cross-condition train condition,Vertical dispersion curve is useful,no,May be condition sensitive,Use with split-aware validation
XJTU-SY,manual_basic_mainline,RUL,mag__time__rms,time_domain,Reference,StepF rank 1; StepH top10_count 3; StepI rank 6,Strong score but actual HI source,Reference curve tracks pseudo-label source,yes,Used for HI/FPT label construction,Do not claim as independent evidence
XJTU-SY,manual_basic_mainline,HealthState,mag__time__mean,time_domain,A,StepF rank 4; StepH top10_count 3; StepI rank 5,Stable across main and cross-condition checks,Boxplots support state separation,no,Redundant with mag__time__mean_abs,Use as main HealthState feature
XJTU-SY,manual_basic_mainline,HealthState,mag__time__mean_abs,time_domain,A,StepF rank 4; StepH top10_count 3; StepI rank 5,Stable across main and cross-condition checks,Boxplots support state separation,no,Redundant with mag__time__mean,Use as main HealthState feature
XJTU-SY,manual_basic_mainline,HealthState,mag__time__std,time_domain,A,StepF rank 7; StepH top10_count 3; StepI rank 7,Stable magnitude dispersion signal,Boxplots and heatmaps support state separation,no,Overlaps with RMS family,Use as main or compact baseline feature
XJTU-SY,manual_basic_mainline,HealthState,h__time__mean_abs,time_domain,B,StepF rank 1; StepH top10_count 3; StepI rank 14,Very strong in main split and condition-wise checks,Boxplots strong in StepF,no,Cross-condition downgrade,Use as secondary or condition-aware feature
XJTU-SY,manual_basic_mainline,HealthState,h__time__std,time_domain,B,StepF rank 3; StepH top10_count 2; StepI rank 10,Strong in C2 and C3,Useful horizontal dispersion plots,no,Condition sensitivity,Use as secondary feature
XJTU-SY,manual_basic_mainline,HealthState,h__time__rms,time_domain,B,StepF rank 2; StepH top10_count 2; StepI rank 13,Strong in StepF and C2/C3,Useful horizontal RMS plots,no,Cross-condition downgrade,Use as secondary feature
XJTU-SY,manual_basic_mainline,HealthState,v__spectral__entropy,spectral,C,StepH C1-specific; StepI rank 8,Useful mainly in Condition 1,Early spectral plot signal,no,C1-specific spectral behavior,Use only as diagnostic auxiliary
