step_id,scope,output,source,artifact_root,status,notes
StepO,planning,baseline_planning_docs_and_experiment_matrix,reports/feature_analysis/summary,reports/baseline_planning,done,Baseline planning specification derived from completed feature-analysis cycle; no training outputs included.
StepP,preflight,baseline_task_and_feature_subset_preflight,reports/baseline_planning/EXPERIMENT_MATRIX.csv,artifacts/baseline_preflight,done,inspect_task preflight for planned baseline task configs and feature subsets; no training outputs included.
StepQ,training,first_compact_non_label_source_mlp_batch,reports/baseline_planning/EXPERIMENT_MATRIX.csv,artifacts/baselines,done,Six real mode=train runs for XJTU-SY and PHM2012 across RUL HealthState EarlyFault using compact_non_label_source.
StepR,training,compact_with_reference_mlp_ablation,reports/baseline_results/first_training_batch_metrics.csv,artifacts/baselines,done,"Six real mode=train runs comparing compact_with_reference against Step Q compact_non_label_source."
StepS,training,full_manual_basic_mlp_batch,reports/baseline_results/first_training_batch_metrics.csv;reports/baseline_results/reference_ablation_metrics.csv,artifacts/baselines,done,"Twelve real mode=train runs for full_manual_basic_no_reference and full_manual_basic across XJTU-SY and PHM2012 RUL HealthState EarlyFault."
StepT,summary,baseline_qrs_summary,reports/baseline_results,none,done,"Summarize Step Q/R/S real training results across compact full reference and non-reference feature subsets."
StepU,training,xjtu_cross_condition_recommended_subset_robustness,reports/baseline_results/04_baseline_summary.md,artifacts/baselines,done,"Three real mode=train runs for XJTU-SY cross-condition robustness using Step T independent recommended subsets."
StepV,summary,final_baseline_report,reports/baseline_results/04_baseline_summary.md;reports/baseline_results/05_xjtu_cross_condition_robustness.md,none,done,"Final baseline report combining main split official split summary with XJTU cross-condition robustness."
StepW,training,tuned_mlp_pilot,reports/baseline_results/FINAL_BASELINE_REPORT.md,artifacts/baselines,done,"Six real mode=train tuned MLP runs on Step V recommended independent feature subsets."
StepX,summary,tuned_mlp_decision_update,reports/baseline_results/06_tuned_mlp_pilot.md,none,needs-review,"Merge tuned MLP pilot results into final baseline decisions; no new training."
